title,description,cuisine,rating,ingredient_list,servings,prep_time,cook_time,rest_time,ready_time,source,steps,recipe_url,image_url
Los Arcos-Style Tacos Gobernador,"The traditional way of preparing tacos gobernador starts with sautéing shrimp with white onions, garlic, and poblano pepper until cooked. This mixture is then combined with shredded cheese (originally Chihuahua cheese), stuffed into corn tortillas, folded, and grilled until the tortilla is crispy and the cheese has melted. For a kick of heat, sometimes jalapeño chili pepper is added. Today, the classic preparation will also include tomatoes, cilantro, and other kinds of cheese, such as Machango and Oaxaca cheese. Tacos gobernador does not need any sides but will often be topped with some hot sauce, such as the tatemado habanero sauce.","Sinaloa, Mexico",4.5,"['500g (1.1 lbs) shrimp, cleaned and deveined', '1/2 onion', '2 garlic cloves', '1 poblano chile', '2 tbsp butter', 'salt, to taste', '1 cup (120g) grated Chihuahua cheese', 'corn tortillas']",4,25min,45min,-,1h 10min,TasteAtlas,"['Begin by finely chopping the onion and garlic. If available, use a garlic press for a finer texture.', 'Then, dice the shrimp if you do not want to keep them whole.', ""Now, thoroughly wash the poblano chile and roast it either directly on the stove until it's fully browned or in the oven at 180°C (350°F) for 15-20 minutes, lightly oiled. After roasting, place the chile in a plastic bag to sweat, making removing the burnt skin easier. Peel off the skin, deseed, slice into julienne strips, and set aside."", 'Next, melt butter in a frying pan and sauté the chopped onion and garlic for 3 minutes to avoid burning. Add the poblano chile strips, stir, and cook for 2 minutes. Then, incorporate the shrimp and cook for 5 minutes on medium-low heat, seasoning with salt to taste.', ""Brush each tortilla with oil, then place it oil-side down into a large skillet. Top with the shrimp and poblano mixture and grated Chihuahua cheese, then fold and cook until the cheese melts, flipping to cook it on both sides. Repeat until you've assembled all the tacos."", 'If desired, serve with lime wedges and salsa of your choice.']",https://www.tasteatlas.com/tacos-gobernador/recipe,-
Ciorba Radauteana,"Ciorba Radauteana is a traditional Romanian soup known for its rich, tangy flavor, originating from the Radauti area. It is primarily made with chicken, although originally, turkey was used, and parts like the thighs, wings, backs, and necks are preferred to maximize flavor. The soup starts with boiling chicken to create a hearty broth, which is then clarified to remove impurities. Vegetables such as carrots, parsnips, celery, onion, and peppers are commonly added to the broth to cook, while the distinct sour taste is achieved by incorporating vinegar or lemon juice. A key feature of ciorba Radauteana is the creamy thickening mixture, made from a blend of egg yolks, sour cream, and flour, tempered with a bit of the hot broth to prevent curdling before being introduced back into the soup. This process gives the soup a rich, smooth texture. Traditionally, the soup is served hot with a dollop of sour cream, freshly chopped parsley, and sometimes, extra vinegar or hot peppers on the side ... READ MORE","Rădăuți, Romania",4.6,"['1 whole chicken of approx. 1.2 - 1.5 kg (27-3.3 lbs) (or pieces with skin and bone)', '4 carrots', '2 parsley roots', '2 parsnip roots', '1 small celery', '1-2 onions', '1 red or yellow pepper', '3-4 tsp salt (put 3 and see more)', '1 tsp peppercorns', '4-5 very fresh egg yolks', '500g (1.1 lbs) sour cream with at least 20% fat', '50g flour (3 tbsp) or 30g (2 tbsp) food starch', '4-6 cloves of garlic finely crushed (in a mortar or with the side of a knife)', 'vinegar to taste (can also be put directly on the plate)']",12,30min,2h,-,2h 30min,TasteAtlas,"['Section the chicken into pieces. First, cut the wings and thighs, then cut along the sides to separate the back from the breast. Cut the back and the breast into two parts. You should end up with 8 pieces, including bones and skin.', 'Next, prepare the vegetables - carrots, onions, parsley, parsnips, celery, and bell pepper. Wash them and either leave them whole or halve them. These vegetables will be removed from the soup later on.', 'Now, place the chicken pieces into a large pot (about 6 liters), fill it nearly to the top with cold water (around 4 liters), and add 3 teaspoons of salt. Bring to a boil over high heat, skimming off any foam that formed initially.', 'After about 15 minutes, when the foaming subsided, add the whole or halved vegetables and peppercorns, reduce the heat to medium, and cover the pot partially with a lid. The soup needed to simmer for about 45 minutes, making it a total of one hour.', 'Once the cooking is complete, take the pot off the heat and strain the soup, keeping the rich, floury broth and setting aside the meat and vegetables to cool.', 'Since the liquid has reduced, add another liter of water and reheat the soup.', 'After cooling the meat for about 10 minutes, debone it. Remove all the strips of meat from the backbones, neck, wings, thighs, and chest. Place the meat in a small bowl of soup so it does not dry out while you prepare the rest of the soup.', 'Dice the carrots for the soup.', 'Once the strained soup is boiling again, prepare the thickening mixture. In a bowl, combine sour cream (24% fat recommended), 4 fresh egg yolks, 2 tablespoons of flour, and crushed garlic.', 'Gradually temper the mixture by adding 3 spoonfuls of hot soup, stirring well after each addition to prevent egg coagulation.', 'With the soup on low heat, pour the mixture into the soup and stir for a few minutes to cook the flour.', 'After thickening, add the chopped meat and diced carrots back into the soup.', 'Serve the soup hot, accompanied by fresh bread. Optionally, add vinegar, hot peppers, extra cream, or chopped green parsley to taste, adjusting according to personal preference. Enjoy the soup fresh for the best taste, ideally within 2-3 days if stored in the refrigerator.']",https://www.tasteatlas.com/ciorba-radauteana/recipe,-
Moqueca Baiana,"Originating from the northeastern Brazilian state of Bahia, moqueca baiana is a fusion dish, a result of European, African, and Indigenous influences. It is traditionally prepared in a clay pot and made with white fish, shrimp, dendê palm oil, coconut milk, peppers, onions, tomatoes, lime juice, garlic, and cilantro. Different preparation methods exist, but almost all start with marinating the fish. The vegetables can either be sautéed before the fish is added or arranged in the pot with the fish, and the two are then cooked together from the start. The coconut milk is generally added near the end of cooking, as are shrimps since they cook pretty fast. The finished stew is typically served with rice and farofa.","Bahia, Brazil",4.3,"['4.4 lbs (2 kg) fish (look for suggestions in the cooking tips!), cleaned and cut into pieces', '2.2 lbs (1 kg) shrimp, raw, peeled & deveined', '1 red bell pepper', '1 yellow bell pepper', '3 onions', '30g (2 cups) cilantro leaves', '3 cloves garlic', '3 tomatoes', '3 limes, juice', '120 ml (½ cup) olive oil', '120 ml (½ cup) red palm oil (dendê oil)', '1 ¼ cup (300 ml) coconut milk', 'salt, to taste', 'red chili pepper, fresh, to taste']",6,35min,40min,30min,1h 45min,TasteAtlas,"['To a food processor or a blender, add 3 garlic cloves, half of the cilantro (chopped), 1 tomato (chopped), 1 onion (chopped), and the juice of 3 limes. Then, season with salt to taste and whizz until the ingredients become a purée.', 'Transfer the puréed ingredients into a large container, add the fish, and coat the fish in the mixture thoroughly. Cover with cling film and refrigerate for half an hour.', 'Cut the bell peppers, the onions, and the tomatoes into round slices. Remove the seeds from the chili pepper and finely chop.', 'Arrange the fish pieces in a clay pot and top with the mixture they’ve been marinating in. Then, arrange the tomato, onion, and bell pepper slices on top of the fish in layers. Sprinkle chili pepper over the whole thing.', 'Place the pot over medium heat. Pour olive oil and palm oil over the ingredients in the pot. Cook for about 15 minutes until boiling. Then, cover with a lid, lower the temperature to medium and cook at a simmer for 20 minutes. During cooking, baste the ingredients with the sauce they are cooking in, and do not stir the stew, but shake it from time to time, or you run the risk of the fish falling apart.', 'Pour over with the coconut milk and cook for two minutes. Next, add the shrimp and cook for five more minutes. Finally, sprinkle with the remaining cilantro.', 'Serve hot.']",https://www.tasteatlas.com/moqueca-baiana/recipe,https://www.tasteatlas.com/images/recipes/128bf10df2f24273bd86b2cf8276ce4d.jpeg?mw=910
Belgian Fries,"Mistakenly thought of as French rather than a Belgian invention, pommes frites, also known as pataten and frieten in Belgium, are lengthways sliced Bintje potatoes that have been double fried in horse or ox fat. They traditionally come served in a paper cone, and are usually only sprinkled with salt, but nowadays will also be topped with some kind of sauce, typically one that is mayonnaise-based.","Belgium, Europe",4.1,"['2 lbs (900g) Bintje potatoes', 'vegetable oil', 'salt']",4,10min,10min,30min,50min,TasteAtlas,"['Peel the potatoes cut them first into 1 cm (1/2-inch) thick slices and then into 1 cm (1/2-inch) wide strips.', 'Place them in water for a few minutes so that as much starch as possible gets washed out. Then, take them out of the water and pat dry them thoroughly.', 'Fill a deep fryer or a frying pan with oil, then heat it to 320°/160°C. To check the temperature, use an instant-read thermometer.', 'Fry the potatoes in batches, adding only a handful at a time, for four to eight minutes, depending on the thickness. Make sure to flip them often so they do not stick.', 'Then, place them on a large plate lined with a paper towel and leave them to cool for at least half an hour.', 'Next, up the heat of the oil to 375°F/190°C, then fry the potatoes a second time, but this time for two minutes only until they are golden and crisp.', 'Sprinkle with salt, and serve with mayonnaise.']",https://www.tasteatlas.com/pommes-frites/recipe,https://www.tasteatlas.com/images/recipes/c2fe81192a184d63bb3a183a279227b4.jpg?mw=910
Cheeseburger,"Unlike a hamburger, a cheeseburger will also include a slice of cheese, traditionally American cheese, but any other good melting cheese like Swiss, cheddar, mozzarella, and blue cheese will do. To prepare one, a slice of cheese is placed on top of a beef patty just shy of being completely cooked, so it has time to melt. The patty with cheese is then placed inside a, preferably, toasted bun, together with all the other toppings and condiments like onions, tomatoes, lettuce, bacon, mushrooms, ketchup, mayonnaise, and mustard, and much more, all that can be tailored to personal taste. A cheeseburger is typically served with French fries, potato chips, or onions rings, with either beer or soft drinks.","Pasadena, United States Of America",4.3,"['1.2 kg of freshly ground chuck', '1 tbsp of onion powder', '1 tsp salt', '1 tsp freshly ground black pepper', '12 slices of American cheese', '6 large burger buns, preferably homemade', 'lettuce', 'onions, sliced', 'tomatoes, sliced', 'ketchup', 'pickles, sliced']",6,15min,10min,-,25min,TasteAtlas,"['In a large bowl gently mix ground beef and onion powder, then shape into six patties that are slightly larger than your hamburger buns and have a dent in the center.', 'Heat your grill, grill pan, or a cast iron skillet over high heat, season the patties liberally with salt and pepper, then place them on the grill to cook.', 'Cook for about two minutes until the crust on the bottom has formed. Flip the burgers once you can lift them up easily then add two cheese slices to each. Cook for another two to three minutes.', 'Remove from the grill and transfer into buns, add the desired garnishings and condiments like lettuce, onions, tomatoes, and ketchup, then serve.']",https://www.tasteatlas.com/cheeseburger/recipe,https://www.tasteatlas.com/images/recipes/7421bd708b504151b15e0b0d48ce3269.jpg?mw=910
Risotto Ai Funghi,"Risotto is a famous Italian dish consisting of rice prepared with a variety of ingredients, which usually include butter, olive oil, wine, flavored stock, onion, and Parmesan. The dish is generally made by sautéing some onion in olive oil and butter, then lightly toasting the added rice. Wine is added to the pan, and when it has evaporated, the warm stock is poured in, a ladle at a time, until the rice is cooked al dente. Finally, grated Parmesan cheese and some butter are vigorously stirred into the cooked dish. There are numerous versions of this creamy dish, such as risotto alla Milanese (traditional kind flavored with saffron), risotto al Barolo (made with red Barolo wine), seafood risotto, mushroom risotto, risotto primavera (usually made with asparagus, spring onions, shallots, peas, and broad beans), risotto al limone (lemon-flavored risotto), and risotto alla zucca (pumpkin risotto). Risotto is served hot, most often as a first course, but sometimes as a side dish, as well.","Lombardy, Italy",4.5,"['500g (17.6 oz) risotto rice', '250g (8.8 oz) fresh porcini or other wild mushroom, or 50g (1.75 oz) dried porcini', '1 medium onion, finely chopped', 'white wine', 'Broth, either meat or vegetable, preferably homemade', '100g (3.5 oz) freshly grated Parmesan cheese', 'butter and/or olive oil']",5,15min,35min,-,50min,TasteAtlas,"['If you have decided to use fresh mushrooms, trim off their roots, clean any residual dirt, and cut them into strips. If going for dried mushrooms, soak them for approximately 20 minutes in lukewarm water, then drain them, reserving the liquid. Squeeze the water out of the mushrooms and chop them coarsely.', 'Heat a knob of butter (or a blend of butter and olive oil) in a pan and sauté the onions until tender. Raise the heat and add the mushrooms, then cook for a few minutes, until the mushrooms soften and the liquid evaporates.', 'Add the rice and let it absorb some flavor from the mushrooms and onion. When it turns chalky white, add some white wine, and let it cook off.', 'Add the broth, a ladle at a time, constantly stirring over moderate heat (if you used dried mushrooms, add the preserved liquid together with the broth) and cook for approximately 20 minutes.', 'Remove from the heat, top with some grated cheese, and if you wish, more butter. Stir energetically for a minute and serve.']",https://www.tasteatlas.com/risotto/recipe,https://www.tasteatlas.com/images/recipes/686e25b0d8d64af699704af11c83b6d8.jpg?mw=910
Baguette,"With its recognizable shape, crispy golden brown exterior, and undeniable charm, a baguette is a world-renowned staple of French cuisine and culture. Extremely prominent in its home country, the bread can be bought nearly everywhere, in one of the numerous boulangeries. This elongated, slender kind of bread is traditionally made solely with wheat flour, water, yeast, and salt. The authentic dough composition is defined by law, and can, besides the essential ingredients, incorporate small amounts of broad bean, soya, or wheat malt flour. Artisanal loaves are sometimes made with bread starter instead of yeast, which enhances the flavor complexity. A typical baguette weighs about 250 grams (8.8 oz), has about 5 or 6 cm (2 inches) in width, and is approximately 65 cm (25.6 inches) long. The preparation starts by mixing the required ingredients and kneading a smooth dough, which is then left to rise for several hours. The risen dough is then shaped into a baguette form, sliced with a knife to acquire the recognizable diagonal scores, and baked in the oven. There are three somewhat distinct variations of the bread: the baguette ordinaire with its crunchy exterior, the baguette moulée, which is industrially made and has a grid marking on the bottom side, and the pallid baguette farinée, which is covered in flour before baking. Slices are often served for breakfast, covered in butter and jam, and dipped into hot chocolate of coffee. It is also commonly served with pâté or cheese and used in the making of sandwiches.","Paris, France",5,"['1 kg (2.2 lbs) flour, plus extra for sprinkling', '18g (1 tbsp) salt', '720 ml (3 cups) water', '10g (2 tsp) yeast']",8,20min,20min,5h 30min,6h 10min,TasteAtlas,"['Thoroughly combine all of the ingredients using a stand mixer with a dough hook. Knead for 10 minutes until slick.', 'Let the dough rest for 5 hours.', 'Divide the rested dough into 3 pieces, each weighing 350g (12.3 oz). Use your hands to shape the pieces into long baguettes. Let the dough rest for another half an hour.', 'Set the oven to 250ºC (480°F).', 'Sprinkle the pieces with some flour and use a knife to produce 5 diagonal scores lengthwise across the baguettes.', 'Bake the loaves of bread in the oven for 20 minutes. Finished baguettes are best served within 3 hours of baking.']",https://www.tasteatlas.com/baguette/recipe,https://www.tasteatlas.com/images/recipes/0189aaa0a8d74fab980150ca7f1c0f39.jpg?mw=910
Hummus Bi'Tahina,"Traditionally consumed for breakfast, this Levantine dish is also enjoyed as a dip or an appetizer, and is also included in mezze, an assortment of small dishes typically served before a multicourse meal. Furthermore, it is a part of other Middle Eastern dishes like falafel and sabich. Hummus or hummus bi'tahina, at its basic, consists of chickpeas, tahini, garlic, lemon juice, and often cumin that are ground and served with a drizzle of olive oil on top and a sprinkling of spices like paprika and/or herbs like parsley. A few whole chickpeas or pine nuts can also be added as decoration. Hummus ful, on the other hand, is almost identical to hummus bi'tahina, except that it is topped with a fava bean paste. The third version of hummus is hummus msabbaha. Here the chickpeas are left whole and mixed with tahini and hummus bi'tahina. No matter which version is served, it should be served warm, with pita bread on the side for scooping it up.","Lebanon, Asia",4.2,"['1 cup (200g) dried chickpeas (the smallest you can find)', '1/2 cup (120g) tahini', 'juice from 1 squeezed lemon', '1-2 garlic cloves', '1/2 tsp cumin', '1 tbsp + 1/8-1/4 tsp baking soda', 'salt', 'olive oil', 'parsley']",4,30min,1h 30min,16h 40min,18h 40min,TasteAtlas,"['Inspect the chickpeas for any damaged grains, stones, and any possible debris. If found, throw them away.', 'Wash the chickpeas until the water is clear; you will need to wash them several times.', 'Place them in a pot of water together with a tablespoon of baking soda and let them soak overnight.', 'The next day, wash them and put them in a pot of fresh water to soak for a few additional hours.', 'Thoroughly wash the chickpeas, then put them in a pot filled with water then add the rest of the baking soda.', 'Cook for 1-1 ½ hours, until the chickpeas are tender to the point they can be smashed by pressing them between two fingers. While the chickpeas are cooking it is recommended to change the water midway during cooking. Also, as the chickpeas are cooking, remove any foam or peels that come to the surface.', 'Once cooked, strain the chickpeas but reserve the cooking water for later.', 'Grind the chickpeas in a food processor, then wait until they cool a bit before continuing.', 'When cooled a bit, add the remaining ingredients and grind to the desired texture. If it’s still too thick, add some of the cooking water.', 'Serve warm, topped with olive oil, and garnished with chopped parsley.']",https://www.tasteatlas.com/hummus/recipe,https://www.tasteatlas.com/images/recipes/9c55838d51864a45b743fb56dcaa6484.jpg?mw=910
Fried Chicken,"Fried chicken, which emerged in the USA, is a world-renowned dish involving chicken meat covered in a blend made with flour and seasonings, then cooked in pig lard or vegetable oil. The preparation starts with dividing a whole chicken into portions: the white meat sections include the breast and the wings, while the dark meat parts consist of thighs and legs. The back is usually disposed of, while the breast is often divided into two bits or cut into long strips, the latter version being called chicken fingers. For tenderizing the meat, chicken pieces are sometimes drenched in buttermilk and then coated in a batter made with flour, seasonings, and occasionally milk or eggs. The batter flavoring commonly includes salt, black pepper, and paprika, sometimes accompanied by chili, garlic, or onion powder. Some extra crunchiness is occasionally acquired by applying a layer of breadcrumbs as well. The chicken pieces are traditionally fried in lard; however, vegetable oils, such as canola, peanut, or corn oil, are regularly used as well. There are three techniques one can use for frying chicken – pan-frying, deep-frying, and broasting, which is a method of cooking chicken using a pressure fryer to accelerate the process. Pan-frying, or shallow frying, includes frying the chicken in a solid pan, using a smaller amount of fat. Deep frying, on the other hand, includes submerging the meat entirely in hot fat, using a deep fryer or a similar device. Fried chicken is traditionally served with mashed potato, macaroni and cheese, gravy, corn on the cob, coleslaw, and biscuits, and is sometimes topped with some hot sauce or paprika for extra spiciness. Cooks from different regions and states of the USA have their own special versions of the dish; for example, the ones from Louisiana like to add Cajun flavorings such as garlic and onion powder, paprika, celery salt, and cayenne, while Nashville cooks often coat the cooked chicken in some spicy chile oil or hot sauce breading. Buffalo wings that allegedly originated in upstate New York are coated in hot sauce and butter, whereas hot chicken stands for chicken pieces covered in cayenne pepper paste and lard. Further modifications include popcorn chicken, small boneless chunks which are dipped in batter, and chicken Maryland, bits covered in spices and flour, then served with some cream gravy.","Southern United States, United States Of America",3.8,"['1 (4 lbs/1.8 kg) chicken', '1 cup (240 ml) buttermilk', '2 cups (240g) all-purpose flour for coating', '1 tsp paprika', 'salt and pepper, to taste', '2 qt (1.9 L) vegetable oil for frying']",8,15min,45min,1h,2h,TasteAtlas,"['Cut up the chicken. For instructions on how to do that, check out our ""cooking tips"" section.', 'In a big plastic bag, mix the flour with the seasonings. Then, pour the buttermilk into a bowl.', 'Drench the chicken pieces in buttermilk and place them in the bag, a few at a time. Seal the bag and shake to make the coating stick. After coating the chicken pieces, place them on a baking tray and cover with some baking paper or a kitchen towel. Let them rest until the flour acquires a paste-like consistency.', 'Pour vegetable oil into a big cast iron pan (1/3 to ½ of the pan should be filled with oil). Heat the oil until very hot and then place the chicken pieces into the pan. First, brown the pieces on both sides, maintaining the hotness of the oil. Next, reduce the flame and cover the pan, cooking for about half an hour. Finally, remove the lid, raise the heat again, and fry the meat until crispy.', 'Place the fried pieces onto some paper towel to drain. If you are frying in batches, keep the cooked chicken in a warm oven while preparing the remaining pieces.']",https://www.tasteatlas.com/fried-chicken/recipe,https://www.tasteatlas.com/images/recipes/9143dbd4c79b4ff99889b7a7f807675d.jpg?mw=910
Basic Quesadillas,"Ranging from basic to elaborate, quesadilla is a popular Mexican snack that was heartily embraced in the American southwest. The preparation starts with corn or wheat tortillas, which can be homemade or store-bought. Corn tortillas or tortillas de maíz are more common in most parts of Mexico, while wheat tortillas (tortillas de harina or tortillas de trigo) are predominant in the U.S. and northern Mexico. The preparation is simple. Flour, water, salt, and lard or shortening for the wheat variety, are mixed into an elastic dough, which is divided and rolled or pressed into flat discs. Tortillas are cooked shortly on both sides on a cast-iron griddle comal, after which they are ready to become quesadillas. The filling always contains cheese, preferably Mexican varieties such as queso Oaxaca or queso Chihuahua, which melt well when heated. Additional ingredients are virtually endless — fresh or leftover meat, poultry, sausages, seafood, mushrooms, fresh vegetables, potatoes, chili peppers, herbs, and spices. The filling is arranged on half of the tortilla, which is then folded into a half-moon shape and cooked shortly on a comal, so it browns evenly on both sides. The quesadillas are served hot with sauces and condiments like red or green salsa, sour cream, guacamole, fresh vegetables, and lettuce.","Mexico, North America",4.1,"['500g (1.1 lbs) corn flour', '1/4 tbsp salt', '1/4 tbsp salt', '415 ml (1 1/2 cups + 4 tbsp) hot water', '500g (1.1 lbs) cheese (Chihuahua, Oaxaca or Manchego)']",10,30min,30min,30min,1h 30min,TasteAtlas,"['Begin by making the tortillas. Sift the corn flour into a large bowl, add salt, and mix lightly. Gradually add water, working the dough with your hands. You may not need to use all the water. The dough should be moderately firm and elastic. Cover the dough with an elastic wrap and let it rest for 30 minutes.', 'Divide the dough into smaller pieces and roll each one into the shape and size of a golf ball. Each piece should weigh about 35 grams (1.2 oz).', 'Put a piece of plastic wrap on the bottom plate of a tortilla press. Put the ball of dough on top, and cover with another piece of plastic wrap. Press until thin – ideally, the tortilla should be around 2 mm (1/8-inch) thick and measure 15 cm (6 inches) in diameter. Repeat with the remaining balls of dough. If you do not own a tortilla press, roll out the tortillas using a rolling pin.', 'Now, cook the tortillas. Heat a comal or a shallow cast iron pan over high heat, then reduce the heat to medium. The tortillas are usually cooked without oil, but some oil may be sprinkled on the comal, so they don’t stick. Cook the tortilla for about 50 seconds on one side, until small bubbles start to appear. Turn the tortilla over, and cook for another 50 seconds, until you start seeing small bubbles again. Finally, turn the tortilla over once more, and cook for an additional 20 seconds. The tortilla should now inflate like a balloon.', 'Transfer the cooked tortilla into a tortillero, a handwoven tortilla basket (still, a plastic container will also do), so it remains warm and soft, and repeat with the remaining tortillas.', 'Grate the cheese or cut it into thin strips. If the tortillas have cooled down, reheat them on a comal or a shallow pan for 20 seconds, so they soften.', 'Sprinkle the cheese generously on each tortilla, fold in half, and heat on a comal for 1 1/2 minutes on each side, until the cheese melts. Press gently during cooking.', 'Serve the quesadillas with the sauce of your choice – red salsa, green salsa or cream, and add condiments to your liking.']",https://www.tasteatlas.com/quesadilla/recipe,https://www.tasteatlas.com/images/recipes/b9a4ef27597647adb1015fb98b33e110.jpg?mw=910
Traditional Pad Thai,"When making pad Thai, one thing to keep in mind is the careful balance of textures and flavors which are synonymous with the dish itself — the chewy and crunchy ingredients for texture, and the balance of sweet, sour, and salty, the three primary flavors of Thai cuisine. First, garlic, tofu, turnip, shallots, and radish are quickly stir-fried in a wok, after which pre-soaked rice noodles are to be incorporated. To make sure the noodle strands separate, they must be vigorously stirred, making sure they are cooked quickly and evenly. If the noodles are still hard, gradually add more water tablespoon by tablespoon. As soon as the noodles are soft and chewy, the sauce ingredients should be added — fish sauce, palm sugar, tamarind, and ground pepper. While stirring continuously, the next ingredient to be added is dried shrimp. Once all the ingredients have been well combined, check and adjust the seasoning. The noodles are then pushed aside to make room for the egg, which must be quickly scrambled into the noodles as soon as it is added. Bean sprouts and chopped chives are added at the end and stir-fried briefly, so they preserve their color and crunchy texture. The finished meal is plated and sprinkled with crushed peanuts and cracked pepper. Chives, a wedge of lime or lemon, and the remaining bean sprouts are placed on top as a garnish, and additional condiments — fish sauce, sugar, chili pepper, and salt — should always be on hand.","Thailand, Asia",4.2,"['1/2 quartered banana flower, lengthwise', '2 cups (200g) bean sprouts', '5-6 cut Chinese chives - green parts', '1/3 cup (25g) dried shrimp', '1 egg', '1 tbsp fish sauce', '3 cloves chopped garlic', '1/2 tsp ground dried chili pepper', 'ground pepper', '1 lime', '2 tbsp toasted and crushed peanuts', '2 tbsp chopped preserved turnip', '1 chopped shallot', '2 tbsp sugar', '2 tbsp tamarind paste', '1/2 packet Thai rice noodles', '3 tbsp cooking oil', '1/3 cup (65g) julienne pressed tofu']",2,30min,10min,-,40min,TasteAtlas,"['Start by preparing the ingredients. Soak the noodles in lukewarm water for 15 minutes, making them flexible and not soft.', 'Toast and coarsely ground the peanuts. Chop up garlic, shallots, and preserved turnip. Remove the tips from the Chinese chives. From each cut off 6-inch (15 cm) pieces; the rest chop up into 1-inch (2.5 cm) pieces. Cut the banana flower into quarters lengthwise and rub the cuts with lime juice to prevent them from going dark.', 'You will need a wok or a large pan that will allow you to stir the ingredients easily. First, heat up the wok, but not extremely, and add the oil in.', 'Place the chopped shallots and garlic in, stir for half of a minute, and then add in the preserved turnip and tofu. Stir for a minute till the tofu has browned.', 'Next, add drained noodles and ground dried chili pepper. You will need to stir the ingredients to separate the strands so they cook quickly and easily. If you’ve soaked your noodles enough, you will see the noodles become soft and chewy. If the noodles are still hard and stiff, add some water tablespoon by tablespoon at a time.', 'When you see that the noodles are ready, add the ground chili pepper, fish sauce, sugar, and tamarind and stir them together, so they mix well.', 'Next, add in the dried shrimp while all the time you’re stirring the ingredients, so the flavors combine well together with the noodles. Taste to see if more seasoning is needed and if so, add them now. At this point, noodles should have a stronger flavor since they will later be diluted with more ingredients.', 'After this stage, when the noodles are chewy and cooked, make room for the egg by pushing the noodles to the side, then drop the egg in and scramble it into the noodles till the egg has cooked.', 'Next, add half of the bean sprouts and Chinese chives while at the same time quickly stirring everything so that the crunchiness of the bean sprouts and the green color of the Chinese chives is preserved.', 'Place on a plate and sprinkle with ground pepper and chopped peanuts. Decorate with the remaining bean sprouts, Chinese chives, and a wedge of lime and serve with condiments on the side; sugar, fish sauce, and dried ground pepper.']",https://www.tasteatlas.com/pad-thai/recipe,https://www.tasteatlas.com/images/recipes/4e199de847334c72a84edf22d8791ca8.jpg?mw=910
Classic Ceviche,"Fresh and fragrant, ceviche is a simple dish that requires no cooking, although it relies heavily on the freshness of its ingredients. It is made with raw fish fillets cut into bite-sized squares, stripes, or thin slices, and marinated in lime or, rarely, lemon juice. The acids from the citrus denature the fish proteins in the same way as it is done by cooking, so the fish changes its color from pink to white, but without being exposed to heat. The best choice for making ceviche is sea fish with firm white flesh, such as sea bass, striped bass, grouper, sole, or flounder. Still, local variations of this dish can be prepared with other seafood such as seashells, shrimps, and octopus, even with dried fish. After marinating the fish, fresh, thinly sliced onions are added, along with some fresh herbs such as cilantro, and finely chopped chili peppers like ají limo or amarillo. All the ingredients are combined gently, and the ceviche is usually served cold with a side of boiled sweet potato and corn. Ceviche is often accompanied by tiger’s milk – the remaining marinade poured into a small glass, which is used both as an aphrodisiac and a cure for a hangover.","Peru, South America",4.3,"['720g (25 oz) fresh fish fillets (white fish such as corvina, sea bass, sole, flounder, grouper)', '12 Peruvian limes (Key limes will also do)', '2 red ají limo peppers', '2 red onions', '450g (16 oz) cooked sweet potato', '225g (8 oz) cooked corn', 'salt, to taste', 'fresh cilantro, to taste']",4,30min,-,20min,50min,TasteAtlas,"['First, prepare the ingredients. Deseed and devein the ají limo peppers and slice them into strips. Cut the onions into thin strips, then place them in ice-cold water. Cut fish fillets into 2x2 cm (1x1-inch) cubes. Squeeze all the limes about halfway and set the juice aside.', 'Next, place the fish into a bowl, and add salt and ají limo peppers. Pour in the lime juice, blend well and let it marinate in the refrigerator for 5-30 minutes, depending on taste (the longer the marination time, the more ""cooked"" the fish will be). Drain the onion slices and add them to the bowl with fish and mix.', 'Serve with sweet potatoes and cooked corn.', 'Divide between plates, and pour over with the marinade juices. Garnish with cilantro and some more red ají limo peppers.']",https://www.tasteatlas.com/ceviche/recipe,https://www.tasteatlas.com/images/recipes/c952744d588f4f80b518e0d4f00b8ebc.jpg?mw=910
Mojito,-,"Cuba, North America",4.9,"['4 cl (40 ml) (1,3 oz) white Cuban rum', '3 cl (30 ml) (1 oz) fresh lime juice', '6 Yerba Buena mint sprigs', '2 tsp (8,5g) white sugar', 'soda water', 'sprig of mint (Yerba Buena in the original recipe)', 'lemon slice']",1,5min,-,-,5min,TasteAtlas,"['Add the mint leaves, the sugar, and the lime juice to a Collins glass, then muddle them gently to release the mint oils.', 'Add a splash of soda water, then fill the glass with crushed ice.', 'Pour the rum and the soda water, and garnish with a sprig of mint and a lemon slice.', 'Add a straw and serve.']",https://www.tasteatlas.com/mojito/recipe,-
