title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
Thai prawn & squash curry,"A fusion curry of tomatoes and ginger with a Thai twist of lime leaves and lemongrass to deliver a delicious balance of sweet, sour, salty and hot",,7 ratings,"['2 tbsp vegetable oil', '1 sachet creamed coconut, grated', '2 tbsp red or green Thai curry paste', '1 tbsp palm sugar or demerara sugar', '1 tbsp fish sauce', '6 lime leaves, torn', '2 lemongrass stalks, bashed', '1 butternut squash, peeled and chopped into large chunks', '400ml can coconut milk', '24 raw prawns, shells removed but tails left on', 'small pack coriander, leaves picked', '100g beansprouts']",Serves 4,20 mins,40 mins,BBC Food,"['Heat the oil a large frying pan or wok. Tip in the coconut and cook for 3 mins or until starting to toast, then add the curry paste and fry, stirring constantly, until fragrant and sizzling. Add 100ml water and bring to the boil – the water will evaporate and the paste will split. Add the sugar and reduce the heat (the colour will darken).', 'With the mixture at a simmer, add the fish sauce, lime leaves, lemongrass and squash. Cook for 1 min, stirring to coat the squash in the paste, then add the coconut milk and 200ml more water and bring back to the boil. Reduce the heat and simmer for 20 mins until the squash is cooked.', 'Turn up the heat again, drop in the prawns and stir well. As soon as the pan returns to the boil, reduce to a low heat and cook for a few mins until the prawns are pink and cooked through. The curry should now be sweet and creamy. To serve, top with the coriander leaves and beansprouts.']",https://www.bbcgoodfood.com/recipes/thai-prawn-squash-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/li-871548prawn_curry02_46_.p-108e2f1.jpg?quality=90&resize=440,400",398,31g,22g,20g,398,31g,22g,20g
Hummus flatbread pizzas with roasted veg,"Top quick-to-make flatbreads with wholesome creamy hummus, olives and plenty of char-roasted veg to make a healthy, easy and filling lunch",,2 ratings,"['1 courgette (about 200g), sliced into rounds (or use frozen grilled Mediterranean vegetables)', '1 large red pepper, halved, deseeded and cut into 8 wedges', '½ tbsp olive oil', 'pinch of dried oregano', '100g hummus', '3 pitted Kalamata olives, quartered', 'small handful of basil leaves', 'extra virgin olive oil, for drizzling', '100g spelt wholemeal flour, plus extra for dusting', '1 tsp baking powder', '100g natural bio yogurt']",Serves 2,15 mins,30 mins,BBC Food,"['Heat the oven to 220C/200C fan/gas 7. Toss the courgettes and peppers with the olive oil on a baking sheet. Sprinkle over the oregano and some black pepper. Roast for 30-35 mins, turning the veg halfway through, until softened and starting to char.', 'Meanwhile, make the flatbreads. Tip the flour into a bowl and stir in the baking powder. Stir in the yogurt using a cutlery knife until you have a soft, slightly wet dough. Cut the dough in half and set aside to rest for 10 mins.', 'Heat a large non-stick dry frying pan over a low heat. Knead one of the dough halves briefly on a well-floured work surface until it’s smooth and elastic, then roll out into a roughly 17cm circle. Put the flatbread in the pan and cook for 3 mins, then flip and cook for 3 mins more until cooked through. Transfer to a serving plate. Repeat with the second dough half.', 'Spread the hummus over the flatbreads, then pile on the roasted veg and scatter over the olives and basil. Drizzle over a little extra virgin olive oil and serve warm.']",https://www.bbcgoodfood.com/recipes/hummus-flatbread-pizzas-with-roasted-veg,"https://images.immediate.co.uk/production/volatile/sites/30/2024/04/Hummus-flatbread-pizzas-with-roasted-veg-03f60e0.jpg?quality=90&resize=556,505",423,18g,3g,44g,423,18g,3g,44g
Arepa reina pepiada (chicken mayo & avocado),"Try arepas – a sandwich favourite from Venezuela. If the idea of vibrant, colourful street food with bold flavours appeals to you, you’ll want to try it",,0 ratings,"['500g yellow or white harina (available online)', '1 large onion, roughly chopped', '1 medium carrot, roughly chopped', '1 celery stick, roughly chopped', '½ red pepper, roughly chopped', '3 garlic cloves', '1 bunch of spring onions, roughly chopped', '3 chicken breasts', '175ml mayonnaise', '1 lemon, juiced', 'small bunch of coriander, leaves picked, to serve', '3 ripe avocados, peeled, halved and stoned', '2 limes, juiced', '1 tbsp olive oil', '2 tbsp American mustard']",Serves 6 - 8,20 mins,1 hr,BBC Food,"['For the filling, fill a large saucepan half-full with water and set over a high heat. Add 1 tbsp salt and bring to the boil. Add the onion, carrot, celery, pepper, garlic and spring onions. Boil for 40 mins to make a stock. Add the chicken breasts and simmer for a further 30 mins.', 'Meanwhile, for the arepas, mix 900ml water with a generous pinch of salt in a large bowl. Gradually add the harina, gently mixing with your hands until a smooth dough is formed – it should be soft but not sticky. Leave to rest for 3 mins. Separate into 10 pieces and shape into balls. Cover and set aside.', 'Remove the chicken from the stock using a slotted spoon and leave to cool. Strain the stock, discarding the solids, then measure 100ml into a jug (chill or freeze the rest of the stock to use in another recipe). Shred the poached chicken using two forks, then tip into a bowl with the 100ml stock, the mayonnaise and lemon juice. Mix together well, breaking up the chicken a bit more as you do.', ""Press the arepa dough balls between your palms into large patties, about 1.5cm thick. Arrange as many as you can comfortably fit into a hot griddle or large frying pan over a medium heat (you'll need to do this in batches). Cook for 5 mins each side until starting to puff up and turn brown. When ready, they should sound hollow when tapped. Wrap to keep warm while you cook the rest."", 'Meanwhile, for the avocado topping, roughly chop the avocado flesh, then mix with the lime juice, olive oil, mustard and seasoning to taste.', 'Split the warm arepas at one end, then fill with the avocado topping, chicken mayonnaise and some coriander leaves to serve.']",https://www.bbcgoodfood.com/recipes/arepa-reina-pepiada-chicken-mayo-avocado,"https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Arepa-reina-pepiada-f42fcc7.jpg?quality=90&resize=556,505",566,30g,4g,50g,566,30g,4g,50g
Roast squash & hummus winter salad,Salads aren't just for summer – this gorgeous winter salad is loaded with beta-carotene and vitamin C to help support immune defences,,1 rating,"['4 small potatoes (about 320g), skin-on, cut into wedges', '320g butternut squash, cut into long thin slices', '2 red and yellow or green peppers, deseeded and cut into big chunks', '3 red onions (about 320g), cut into thick slices', '200g carrots, halved lengthways and cut into thick slices', '1 tbsp rapeseed oil', '1 tbsp fresh thyme leaves', '30g rocket, to serve', '2 x 400g cans butter beans', '2 large garlic cloves, sliced', '1 tsp smoked paprika', '1 large lemon, zested and juiced', '2 tbsp rapeseed oil', '25g walnuts, chopped']",Serves 4,15 mins,55 mins,BBC Food,"['Heat the oven to 220C/200C fan/gas 7. Boil the potatoes for 5 mins, then drain and leave them to steam dry. Tip all of the vegetables, including the steam-dried potatoes, into a large shallow roasting tin where they can fit in one layer, and toss gently with the oil and thyme. Roast for 25 mins.', 'Meanwhile, make the hummus. Drain the butter beans, retaining the water. Weigh 300g of the beans and put in a bowl with the garlic, smoked paprika, 1 tbsp of the rapeseed oil, 3 tbsp lemon juice, 1 tsp lemon zest and 3 tbsp bean liquid and blitz until smooth. Add another 2 tbsp bean liquid for a smoother consistency, if you like. Stir in the walnuts. In a separate small bowl, mix 1 tbsp lemon juice with the remaining rapeseed oil.', 'Once the vegetables are soft, stir through the reserved beans and return the tray to the oven for 5 mins to warm through. To serve, spread half the hummus over two plates. Top with half the roasted vegetables then spoon over a little of the lemon and oil mixture, saving some for another meal. Scatter over the rocket and serve. Will keep chilled in an airtight container for up to three days. Reheat the vegetables in a microwave until piping hot.']",https://www.bbcgoodfood.com/recipes/roast-squash-hummus-winter-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Roast-squash-winter-salad-bb9390e.jpg?quality=90&resize=556,505",400,14g,1g,47g,400,14g,1g,47g
Aubergine pickle,"Use up a glut of aubergines in this Indian-spiced chutney with tamarind, ginger and mustard seeds",,9 ratings,"['3 onions, chopped', '100g chunk ginger, peeled and finely chopped', '2 tbsp vegetable oil', '1 tbsp yellow mustard seed', '1 tbsp ground cumin', '10 curry leaves', '3 tbsp tomato purée', '3 tbsp tamarind paste from a jar', '1kg aubergine, diced', '150g raisin', '200g soft light brown sugar', '250ml malt vinegar']",Makes about 1.5kg chutney,20 mins,50 mins,BBC Food,"['Put the onions, ginger and oil in a large saucepan and gently cook for 15 mins until soft. Stir in the spices and curry leaves and fry for a few mins, then add the tomato purée and tamarind and fry for a few mins more.', 'Stir in the aubergines, raisins, sugar and vinegar. Heat gently until the sugar has dissolved, then simmer for 20 mins until the chutney has thickened. Leave for 10 mins, then spoon into sterilised jars and seal. The pickle can be eaten straight away and keeps for up to 6 months.']",https://www.bbcgoodfood.com/recipes/aubergine-pickle,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-991456_11-1c7181d.jpg?quality=90&resize=440,400",19,0.3g,0g,3.8g,19,0.3g,0g,3.8g
Slow cooker pork belly,"Treat yourself to tender, melt-in-the-mouth slow cooker pork belly. Serve in a warming broth or with seasonal vegetables, apple sauce and gravy",,28 ratings,"['3 garlic cloves, crushed', 'thumb-sized piece root ginger, finely grated', '3 tsp flaky sea salt', '1 tbsp soy sauce', '1 - 1.2kg pork belly, cut into 3 long strips, rind trimmed but fat left on', '2 onions, sliced']",Serves 6,10 mins,4 hrs and 20 mins,BBC Food,"['Mix together the garlic, ginger, salt and soy sauce then rub the mixture all over the pork belly. Put the sliced onion into the bottom of your slow cooker and place the pork belly pieces on top. Cook on high for 4 hours.', 'Carefully take the pieces of pork belly out of the slow cooker then transfer them to a non-stick frying pan with a good spoonful of the cooking juices, turning occasionally. Let sizzle away on a high heat until all the sides are browned and the liquid has evaporated. Slice or cut into wedges and serve with mashed potato, steamed green vegetables and a gravy made with the cooking juices. Alternatively use in a ramen noodle broth, bao buns or in your own recipe.']",https://www.bbcgoodfood.com/recipes/slow-cooker-pork-belly,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/slow-cooker-pork-8d44f7b.jpg?quality=90&resize=440,400",540,40g,15g,4g,540,40g,15g,4g
Fried bread,Homemade fried bread is the perfect accompaniment to eggs or a full English fry-up. It's super-simple to make and needs just two ingredients,,4 ratings,"['2 tbsp neutral-tasting oil (grapeseed or sunflower work well), or 40g lard', '2 slices thick white bread']",Serves 2 - 4,2 mins,5 mins,BBC Food,"['Heat half the oil or lard in a frying pan over a medium-high heat. Once hot, fry the bread for 1 min 30 seconds until golden, then add the remaining oil or lard, turn the bread over and cook for another 1 min 30 seconds, until golden on both sides.']",https://www.bbcgoodfood.com/recipes/fried-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2024/01/Fried-bread-408ec8e.jpg?quality=90&resize=556,505",189,16g,5g,10g,189,16g,5g,10g
Hand-cut pappardelle,"Wow dinner party guests with your own homemade pasta. It takes a little extra effort and requires a pasta machine, but it's delicious served with beef ragout",,1 rating,"['750g ‘00’ pasta flour', '5 whole large eggs and 6 large egg yolks, both lightly beaten', 'semolina flour, for dusting', 'a pasta machine']",Serves 6-8,1 hr,5 mins,BBC Food,"['Tip the ‘00’ flour into a large food processor with a pinch of salt and the beaten eggs and yolks. Pulse in short bursts, being careful not to overheat the motor, and scrape the sides with a spatula between pulses to incorporate any dry flour. Stop pulsing when the mixture has come together in even crumbs. Tip onto a work surface and knead for 5-10 mins until you have a smooth, firm dough. If it’s very dry, you may need to add a splash of water to bring it together. Shape into a ball, wrap and chill for at least 1 hr and up to two days.', 'Keeping the rest of the dough well covered, roll a quarter into a rectangle that will fit through the widest setting on your pasta machine . Pass the dough through the machine, reducing the width down to level three. This means it won’t be super thin, but will have a nice bite to it when cooked.', 'Unfold the dough onto a work surface dusted with semolina. Cut it into smaller 25cm sheets, then cut each of the sheets lengthways into 2.5cm-thick pappardelle strips. Toss the strips in semolina. Repeat the rolling and cutting with the remaining dough, a quarter at a time. Once all cut, leave to dry for a few mins on a parchment-lined tray generously dusted with semolina – this will make it easier to handle. Cook the pasta in a large pan of salted water for 3 mins, then drain to serve.']",https://www.bbcgoodfood.com/recipes/hand-cut-pappardelle,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hand-cut-pappardelle-d42271a.jpg?quality=90&resize=440,400",478,11g,4g,73g,478,11g,4g,73g
Herbed potato salad,A superhealthy accompaniment to any summer meal,,12 ratings,"['800g waxy new potatoes, such as Charlotte or Nicola', '4 tsp Dijon mustard', '4 tsp white wine vinegar', '4 tbsp olive oil', '2 tbsp each chopped fresh chives, parsley and tarragon (or other herbs you like)', 'a bed of green salad leaves, to serve']",Serves 4,30 mins,-,BBC Food,"['Steam or boil the whole potatoes until tender when pierced. Remove and set aside to cool a little.', 'Mix the mustard and vinegar in a big serving bowl until smooth, add the oil and season to taste if you want, then mix again until blended.', 'Slice the potatoes and toss together with the herbs in the bowl of dressing. Serve on a bed of leaves.']",https://www.bbcgoodfood.com/recipes/herbed-potato-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4660_12-244a189.jpg?quality=90&resize=440,400",252,12g,2g,33g,252,12g,2g,33g
Sweet potato jacket with Coronation chickpeas,Transform a baked sweet potato with this tasty Coronation chickpeas topper. It's super-simple to prep and delivers two of your 5-a-day,,6 ratings,"['400g can chickpeas', '150g thick Greek yogurt', '50g mango chutney', '2 tsp mild curry powder', '½ lime, juiced, plus extra wedges to serve', '2 baked sweet potatoes', '½ small red onion, thinly sliced', 'small handful of coriander leaves', 'scattering of nigella seeds']",Serves 2,10 mins,-,BBC Food,"['Drain the chickpeas and mix with the yogurt, mango chutney, curry powder, a good squeeze of lime juice and some seasoning. Split the baked sweet potatoes, then fill with the yogurt mixture and top with the red onion, coriander and nigella seeds. Serve with a wedge of lime on the side.']",https://www.bbcgoodfood.com/recipes/sweet-potato-coronation-chickpeas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/coronation-chickpeas-ab7b24d.jpg?quality=90&resize=440,400",551,13g,6g,84g,551,13g,6g,84g
Homemade ginger beer,Enjoy this fiery ginger beer at a family barbecue or pour into a bottle for a picnic. It's made by cooking up a ginger cordial and topping up with soda water,,11 ratings,"['200g ginger, thickly sliced', '2 large lemons, peeled and juiced', '75g golden caster sugar', '100g light brown muscovado sugar', 'ice', '1 litre soda or sparkling water', 'mint sprigs, to serve']",Serves 4-6,5 mins,20 mins,BBC Food,"['Put the ginger in a saucepan set over a low heat with the lemon peel, sugars and 500ml water and stir until the sugars have dissolved. Increase the heat to medium, then simmer for 15-20 mins, or until reduced and syrupy. Remove from the heat and leave to cool completely.', 'Strain the syrup into a jug through a sieve lined with muslin. At this stage, you can transfer the syrup to a small sterilised bottle or jar and keep in the fridge for up to two weeks .', 'Pour the ginger syrup into a large serving jug. Tip in the lemon juice, fill with ice and top up with the soda water. Serve garnished with a few mint sprigs.']",https://www.bbcgoodfood.com/recipes/ginger-beer,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ginger-beer-9c76dde.jpg?quality=90&resize=440,400",119,0g,0g,30g,119,0g,0g,30g
Halloween bark,Get creative in the kitchen and make this ghoulish chocolate bark. Kids will love getting involved in the decoration - add icing eyes and Halloween sweets,,0 ratings,"['200g white chocolate', '1 tsp orange food colouring (oil-based is best)', '75g dark chocolate', '1 tsp black food colouring (oil-based is best)', '70g orange, yellow and brown sweets, such as sugar-coated chocolate balls, popping candy or chocolate-coated peanuts', '15g shop-bought edible eyes']",Serves 4,10 mins,10 mins,BBC Food,"['Line a 23 x 33cm baking tray with baking parchment. Melt the white chocolate in a heatproof bowl over a pan of simmering water, making sure the bowl doesn’t touch the water, or microwave in 5-second bursts until smooth. Stir through the orange food colouring and set aside.', 'In a separate bowl, melt the dark chocolate using the same method, then mix in the black colouring.', 'Pour the melted orange coloured chocolate into the lined tray and spread to the sides to an even layer. Drizzle over the black coloured chocolate and swirl it with the end of a skewer to make a pattern. Evenly sprinkle over the coloured sweets and edible eyes. Chill for 1-2 hrs until set, then break into shards. Will keep for up to two weeks in an airtight container.']",https://www.bbcgoodfood.com/recipes/halloween-bark,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/HalloweenBark-2ba460e.jpg?quality=90&resize=556,505",444,23g,13g,54g,444,23g,13g,54g
