title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,total_time,source,steps,nutrients,recipe_url,image_url
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/pan-seared-salmon/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
Italian Almond Cookies (Ricciarelli) – gluten free!,"Recipe video above. These lovely little Italian cookies have a beautiful chewy texture and bursting with almond flavour. And because they're gluten free and dairy free, everyone can enjoy them! The almond sliver coating is something I copied from an Italian bakery in Sydney. It gives the cookie a great textural finish and makes it less fragile. Without it, you need to handle the cookie with care, and to me it feels less like a cookie because the crust is quite soft. These cookies are traditionally studded with dried cherries but other similar dried fruit will work in a pinch eg cranberries, or even raisins.",Italian,5 from 52 votes,"['2 cups almond meal or blanched ground almonds (Note 1)', '1/2 cup caster / superfine sugar (Note 2)', '2 tsp lemon zest (1 lemon)', '3 drops natural almond extract', '1/8 tsp salt', '1/2 cup dried cherries , chopped (Note 3)', '2 egg whites , at room temperature (from 2 large eggs, Note 4)', '2 tsp honey', '1 Extra egg white', '1 1/2 cups flaked almonds']",-,15 minutes ,15 minutes ,,RecipeTinEats,"['Place Extra egg white in a small bowl and whisk with a fork until foamy. Place flaked almonds in another bowl.', 'Form 2.5cm/1"" balls: Scoop up about 1 tablespoon of the mixture and shape into a rough ball (2.5cm/1"" ball). I do this using 2 eating spoons – we don\'t need perfect balls here.', 'Coat in egg whites: Drop the ball into foamy egg whites. Use 2 forks to turn to coat, then pick up and place in the flaked almonds.', ""Almond coating: Coat cookies with the almonds, pressing them on to cover as completely as you can. Don't worry if you get some double layers or pieces sticking out – no need to be neat or thorough here!"", 'Bake 13 minutes: Place on prepared tray 2.5cm / 1"" apart. Bake for 13-15 minutes until golden brown. Start checking at 12 minutes to be sure the nuts aren’t burning', 'Cool: Transfer to rack to cool completely before serving.', 'Store: Store in an airtight container. They last up to 10 days in a storage container or can be frozen']","[['Calories', '127cal (6%)'], ['Carbohydrates', '11g (4%)'], ['Protein', '4g (8%)'], ['Fat', '8g (12%)'], ['Saturated Fat', '1g (6%)'], ['Potassium', '44mg (1%)'], ['Fiber', '2g (8%)'], ['Sugar', '8g (9%)'], ['Vitamin A', '108IU (2%)'], ['Vitamin C', '1mg (1%)'], ['Calcium', '41mg (4%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/italian-almond-cookies-ricciarelli/
",https://www.recipetineats.com/tachyon/2021/05/Italian-Almond-Cookies_6.jpg
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/vietnamese-baked-chicken/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
Eggplant Parmigiana (Parmigiana di Melanzane),"Recipe video above. There's a little labour involved in this. But you'll be rewarded with one of the all-time greatest vegetarian comfort foods known to mankind! Assemble ahead, then pop in the oven to bake when you're ready!","American-Italian, Italian",4.96 from 70 votes,"['1.8kg / 4 lbs large eggplants (aubergines) – about 5 , sliced lengthways 8mm (1/3"")-thick (skin on, Note 1)', '1/4 cup olive oil (for brushing)', '1 2/3 cups parmesan , finely grated', '2 cups basil leaves (loosely packed), stalks reserved', '1 1/2 cups mozzarella , shredded (for topping) (Note 2)', '2 tbsp extra virgin olive oil', '1 onion , finely diced', '5 garlic cloves , finely minced', '600ml / 20oz tomato passata (Note 3)', '400g/ 14oz canned tomatoes , crushed or finely chopped (Note 4)', '1 1/2 tsp white sugar', '1 1/2 tbsp fresh oregano , finely chopped (or 1/2 tsp dried oregano, or 1 sprig fresh basil)', '1 cup water', '3/4 tsp salt', '1/4 tsp black pepper']",8 – 10 people,40 minutes ,1 hour ,,RecipeTinEats,"['Reduce oven to 180°C / 350°F (160°C fan).', 'Smear a little tomato sauce in the bottom of baking dish, 23 x 33cm / 9 x 13"" (or thereabouts).', 'Layer 1: Lay one third of the eggplant so it covers the base (some overlap is OK when layering eggplant). Spread 1/3 of the remaining sugo over eggplant. Drizzle with a little olive oil. Sprinkle with 1/3 of the parmesan, and 1/3 of basil leaves.', 'Layer 2: Repeat another 1/3 each of eggplant, tomato sauce, olive oil, basil and parmesan.', 'Layer 3 (top layer): Repeat again with remaining eggplant, tomato sauce and some olive oil. Do not put basil on top layer (we will garnish after baking). Scatter with remaining parmesan, then all the mozzarella.', 'Bake for 25 mins until bubbling and golden.', 'Rest: Let it rest for 5 to 10 minutes (easier to slice neatly). Scatter over remaining fresh basil leaves. Cut like lasagna and serve! (Optional: sprinkle with extra parmesan).']","[['Calories', '352cal (18%)'], ['Carbohydrates', '27g (9%)'], ['Protein', '17g (34%)'], ['Fat', '22g (34%)'], ['Saturated Fat', '8g (50%)'], ['Cholesterol', '35mg (12%)'], ['Sodium', '841mg (37%)'], ['Potassium', '970mg (28%)'], ['Fiber', '10g (42%)'], ['Sugar', '15g (17%)'], ['Vitamin A', '960IU (19%)'], ['Vitamin C', '19mg (23%)'], ['Calcium', '418mg (42%)'], ['Iron', '3mg (17%)']]","https://www.recipetineats.com/eggplant-parmigiana/
",https://www.recipetineats.com/tachyon/2021/05/Eggplant-Parmigiana_1.jpg
Chicken Piccata (Lemon Chicken with Capers),"Recipe video above. If, like me, you find the sauce of other Chicken Piccata recipes too sour, and the chicken kind of bland, I think you'll love this version! The lemon tang in the sauce is pleasant rather than lip-puckering, and the flavour of the chicken is boosted with a little parmesan in the flour coating.","American-Italian, Western",4.97 from 79 votes,"['450g / 16oz chicken breast (2 large pieces), skinless boneless (Note 1)', '4 tbsp flour (sub cornflour/cornstarch for GF)', '2 1/2 tbsp parmesan , finely grated (Note 2)', '1/2 tsp salt', '1/4 tsp pepper', '2 1/2 tbsp olive oil', '1 tbsp / 15g unsalted butter', '2 tbsp / 30g unsalted butter , cut into 1.5cm / 1/2″ cubes', '2/3 cup dry white wine (Note 3)', '2 tbsp lemon juice , fresh', '3 tbsp capers in brine , drained (Note 4)', '1 1/2 tsp parsley , finely chopped, plus more for garnish']",-,10 minutes ,,,RecipeTinEats,"['Pour out and discard excess fat in skillet, then give it a quick wipe with paper towels (no need to clean thoroughly).', 'Still on medium high heat, add wine. Let it simmer rapidly until it reduces by half – around 3 minutes.', 'Add lemon and simmer 1 minute.', 'Reduce heat to low. Add cubed butter and swirl pan to make it melt but not go foamy. Sauce should be glossy, translucent and slightly thickened.', 'Stir in capers and parsley. Serve chicken with Sauce, sprinkled with extra parsley if desired!']","[['Calories', '358cal (18%)'], ['Carbohydrates', '5g (2%)'], ['Protein', '33g (66%)'], ['Fat', '19g (29%)'], ['Saturated Fat', '8g (50%)'], ['Sodium', '800mg (35%)'], ['Potassium', '616mg (18%)'], ['Fiber', '1g (4%)'], ['Sugar', '1g (1%)'], ['Vitamin A', '365IU (7%)'], ['Vitamin C', '6mg (7%)'], ['Calcium', '30mg (3%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/chicken-piccata/
",https://www.recipetineats.com/tachyon/2021/05/Chicken-Piccata_0.jpg
Black Forest Cake (Schwarzwälder Kirschtorte),"Recipe video above. The most German of cakes: Black Forest Cake! You'll love how this cake's layers are lovely and moist (too often they are terribly dry!), and how this Black Forest Cake is not too sweet so you can actually taste all the elements. TIP: Though it seems a shame not to use fresh cherries when they're in season, using jarred or canned cherries in between sponge layers really does work better. They're softer so texturally they make more sense, plus the flavoured syrup from the jar is perfect to brush the cake layers. You MUST make this cake at least 4 hours ahead or even better, overnight, for flavours to develop!",German,5 from 38 votes,"['6 large eggs , at room temperature (Note 7)', '1 tsp vanilla extract', '1 1/4 cup caster sugar (superfine sugar)', '1/2 cup dutch processed cocoa powder (or unsweetened regular cocoa power, Note 1)', '2/3 cup plain flour (all-purpose flour)', '150g / 10.5 tbsp unsalted butter , melted and cooled', '670g / 23.5 oz pitted morello cherries in syrup (sour cherries, in jar or can) , drained and juice reserved (Note 2)', '1/3 cup kirsch or cherry liqueur (optional – sub with more reserved cherry juice, Note 3)', '1/2 cup caster sugar (superfine sugar)', '4 tsp cornflour / cornstarch', '4 cups / 1 litre thickened / heavy cream (Note 4)', '2 tsp vanilla', '1/3 cup soft icing sugar / powdered sugar (Australia: Not pure icing sugar, Note 5)', '100g / 3.5 oz dark chocolate / bittersweet chocolate', '12 maraschino or fresh cherries (for decorating top of cake)']",12 – 16 slices,40 minutes ,1 hour ,,RecipeTinEats,"['Place one cake layer upside down on a serving platter (or cake decorating turn table, if you’re a pro! 🙂 ).', 'Brush with cherry syrup: Brush the cake layer with 1/4 cup of the cherry syrup the cherries are soaking in.', 'Cream layer: Spread with 1 cup of whipped cream, leaving a 1cm (1/2"") border (the weight of the next cake layer gently pressed will push cream to edge).', ""Layer cherries: Top the cream with half the cherries (in a single layer), using a slotted spoon to drain well (but don't pat dry, want the cherries juicy!)."", 'Repeat: Top with another cake layer, brush with 1/4 cup syrup, spread with 1 cup cream, top with remaining cherries, and place 3rd cake layer on top.', 'Cover with cream: Reserve 1 1/2 cups whipped cream for piping cream decorations. Spread the remaining cream over the top and side of the cake. Pipe dollops around the edge of top using a large star-tipped nozzle. Top each dollop with a maraschino cherry.', 'Chocolate shavings: Pile large chocolate curls in the middle (I stack in a tent shape like building a fire!). Use the smaller broken shavings to coat the base of the sides of the cake (using cold hands, scoop up shavings, press on side).', 'Rest 4 hours+: Leave cake in the fridge for at least 4 hours, preferably overnight, to allow flavours to develop and syrup to really soak into the cake.', 'Take out of fridge: Remove from fridge 30 minutes prior to serving (but be mindful of cream melting on hot days). Slice and serve proudly!']","[['Calories', '668cal (33%)'], ['Carbohydrates', '60g (20%)'], ['Protein', '7g (14%)'], ['Fat', '45g (69%)'], ['Saturated Fat', '28g (175%)'], ['Sodium', '77mg (3%)'], ['Potassium', '263mg (8%)'], ['Fiber', '2g (8%)'], ['Sugar', '37g (41%)'], ['Vitamin A', '2006IU (40%)'], ['Vitamin C', '2mg (2%)'], ['Calcium', '106mg (11%)'], ['Iron', '2mg (11%)']]","https://www.recipetineats.com/black-forest-cake/
",https://www.recipetineats.com/tachyon/2021/05/Black-Forest-Cake-new_7.jpg
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/sun-dried-tomato-pesto-pasta-salad/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
German Potato Salad,"Recipe video above. This is a warm potato salad, German-style! Slices of boiled potato are tossed in a warm, tangy-sweet bacon vinaigrette while hot so they absorb the flavour. They're then showered with crispy, golden bacon bits and hit with freshness from dill and green onion. This excellent combination of flavours and textures makes this quite possibly my all-time favourite potato salad!","German, Western",4.93 from 26 votes,"['1 kg / 2 lb baby red potatoes or other small waxy potatoes (Note 1)', '2 tsp salt', '100g / 3oz streaky bacon , chopped into 2cm x 4mm (0.8 x 0.15"") lardons', '1/4 red onion , sliced', '1/4 cup canola oil (or grapeseed)', '1/3 cup apple cider vinegar', '2 tbsp white sugar', '2 green onions , finely sliced', '3 tbsp fresh dill , finely chopped (sub parsley)']",-,10 minutes ,25 minutes ,,RecipeTinEats,"['Layer potatoes: Pile about 1/4 of the potato on to a platter or in a bowl. Sprinkle with 1/4 of the green onion and dill. Top with another 1/4 of potato, sprinkle with more green onion and dill. Repeat until all used up.', ""Serve! I love it served warm, but it's also terrific at room temperature!""]","[['Calories', '299cal (15%)'], ['Carbohydrates', '32g (11%)'], ['Protein', '9g (18%)'], ['Fat', '15g (23%)'], ['Saturated Fat', '3g (19%)'], ['Sodium', '1072mg (47%)'], ['Potassium', '750mg (21%)'], ['Fiber', '4g (17%)'], ['Sugar', '6g (7%)'], ['Vitamin A', '65IU (1%)'], ['Vitamin C', '31mg (38%)'], ['Calcium', '26mg (3%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/german-potato-salad/
",https://www.recipetineats.com/tachyon/2021/05/German-Potato-Salad_4.jpg
German Cucumber Salad,"This is a recipe for a refreshing German Cucumber Salad. Called Gurkensalat, it's a staple side salad you'll find versions of in every household in Germany. It's particularly favoured during the warmer weather for its cooling effects, as well as alongside rich mains such as German Pork Knuckle. It will go with virtually any European or Western dish, as it has a clean, neutral flavour. The dressing is very thick at first, but it naturally becomes diluted with the cucumber juices so you end up with a thinner, white dressing. This makes this Cucumber Salad refreshing rather than cloying. Don't skip the dill, it really makes it!",German,5 from 11 votes,"['2 English / telegraph cucumbers (ie. long cucumbers. Sub 4 x Lebanese cucumbers, Note 1)', '1/2 cup sour cream (sub plain, thick yogurt)', '1 tbsp white vinegar (plain distilled vinegar)', '1 tsp white sugar', '1 tbsp fresh dill , finely chopped', '1/2 tsp salt', 'Black pepper']",-,10 minutes ,,,RecipeTinEats,"['Peel cucumbers and finely slice into 2mm / 0.2"" slices using a mandoline (or by hand and show off your knife skills!)', 'Mix dressing ingredients in a small bowl.', 'Toss cucumbers with dressing, then set aside for at least 4 hours or even overnight. The cucumbers will soften and leach juice which will thin the dressing to the right consistency.', 'Serving: Toss well then transfer to bowl for serving. Serve chilled for the most refreshing flavour!']","[['Calories', '66cal (3%)'], ['Carbohydrates', '6g (2%)'], ['Protein', '1g (2%)'], ['Fat', '5g (8%)'], ['Saturated Fat', '3g (19%)'], ['Cholesterol', '12mg (4%)'], ['Sodium', '253mg (11%)'], ['Potassium', '210mg (6%)'], ['Fiber', '1g (4%)'], ['Sugar', '3g (3%)'], ['Vitamin A', '275IU (6%)'], ['Vitamin C', '4mg (5%)'], ['Calcium', '45mg (5%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/german-cucumber-salad/
",https://www.recipetineats.com/tachyon/2021/05/German-Cucumber-Salad_0.jpg
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/pan-fried-chicken-breast/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
German Pork Knuckle (Schweinshaxe) – Slow Roasted with Crispy crackling!,"Recipe video above. Realistically, one knuckle will serve 2. But for wow factor, serve one per person!!! While producing tender Pork Knuckle flesh is straightforward enough, very few recipes truly nail the crispy crackling. So here is a recipe that finally does! The skin is crispy all over and fabulously bubbly, shattering into a thousand porky shards when you bite instead of breaking your teeth on hard, leathery patches! Meanwhile, the flesh is seasoned with traditional flavourings and the Pork Knuckle is served with an authentic, dark and malty German beer gravy. It's every carnivore's dream come true!","Bavarian, German",5 from 42 votes,"['1 x 1.25kg / 2.5lb pork knuckle (Note 1)', '2 tbsp white vinegar (Note 2)', '3 garlic cloves , cut into 4 – 6 slivers (Note 3)', '2 tsp salt , kosher / cooking salt NOT table salt (Note 4)', '1 tsp black pepper', '1 tsp juniper berries (Note 5)', '1 tsp caraway seeds', '1 tsp fennel seeds', '2 cups dark German beer (Note 6)', '2 cups chicken stock / broth , low sodium', '1 carrot , unpeeled, sliced 2cm / 0.8″ thick', '1 onion , unpeeled, halved, cut into 1.25cm / 1/2″ thick slices', '1 head garlic , cut in two halves horizontally', '5 juniper berries (Note 5)', '2 bay leaves , preferably fresh otherwise dried', '2 tsp cornflour/cornstarch', '1/2 cup water', '1 tsp white sugar', '1/4 – 1/2 tsp salt , kosher / cooking salt NOT table salt (Note 4)']",-,20 minutes ,3 hours ,,RecipeTinEats,"['Strain liquid: Strain roasting pan juices into a saucepan. Ideally you should have around 1.5 – 2 cups.', 'Thicken: Bring liquid to a simmer. Mix cornflour and water, then pour into liquid while stirring. Add sugar and salt to taste.', ""Simmer: Simmer for 2 minutes or until it becomes a thin syrup consistency (German beer gravy should not be as thick as normal gravy, but quite runny). If it's too thick, add a touch of water. Too thin, simmer to reduce – it will thicken. Serve with pork knuckle!""]","[['Calories', '633cal (32%)'], ['Carbohydrates', '32g (11%)'], ['Protein', '65g (130%)'], ['Fat', '20g (31%)'], ['Saturated Fat', '6g (38%)'], ['Sodium', '3504mg (152%)'], ['Potassium', '1581mg (45%)'], ['Fiber', '3g (13%)'], ['Sugar', '6g (7%)'], ['Vitamin A', '5115IU (102%)'], ['Vitamin C', '12mg (15%)'], ['Calcium', '146mg (15%)'], ['Iron', '5mg (28%)']]","https://www.recipetineats.com/crispy-german-pork-knuckle-schweinshaxe-with-beer-gravy/
",https://www.recipetineats.com/tachyon/2021/05/German-Pork-Knuckle_7-main-1.jpg
Pide – Turkish Flat Bread / Pizza,"Recipe video above. It's hard to get great pide outside of Turkey. It's hit and miss, even at many Turkish places. Solution: make it yourself! Pide is easier than you think, and it will tick all your pide boxes: pillowy soft bread inside with a crispy base, generous on the toppings. SO GOOD! Makes 2 pide around 40cm / 16"" long. A generous meal for 2 people, normal meal for 3 people! TOPPINGS – Choose only 1. Each batch is enough to top 2 pides.","Middle Eastern, Turkish",4.97 from 32 votes,"['1 tsp rapid rise / instant yeast (sub active dry yeast, Note 1)', '1/2 tsp white sugar', '2 tbsp + 2/3 cups very warm water , (~40℃ /104℉, Note 2)', '2 cups bread flour (sub all purpose/plain flour, Note 3)', '3/4 tsp salt', '1 1/2 tsp olive oil', '150g / 5oz Turkish kasar cheese or mozzarella (Note 4)', '1/2 tsp semolina , optional (Note 10)', '1 Topping of choice (each makes enough for 2 pides)', '1 egg (optional, Note 13)', 'Sprinkling finishes of choice (listed below)', '2 tsp olive oil', '1/2 onion , finely diced', '280g / 10oz baby spinach', '1/2 tsp cumin', '1/2 tsp pepper', '1/4 tsp salt (kosher / cooking salt)', '125g / 4oz Turkish sujuk sausage (sub chorizo, Note 5)', '1 tbsp olive oil', '1/2 onion , finely diced', '1 garlic cloves , finely minced', '250g / 8oz lamb mince (or beef)', '1 tsp tomato paste', '1 tsp baharat spice mix (Note 6)', '1/2 tsp cumin', '1/8 tsp each salt and pepper', '1/2 red capsicum / bell pepper , finely diced', '1/2 tomato , finely chopped', '1 tsp lemon juice', '4 tbsp Turkish tulum cheese or feta , crumbled (Note 7)', 'Dried oregano', 'Sesame seeds , toasted', 'Sumac', 'Fresh coriander/cilantro leaves', 'Extra virgin olive oil']",2 pide,30 minutes ,30 minutes ,,RecipeTinEats,"['Heat oil in a skillet over medium high heat. Cook garlic and onion for 3 minutes until soft. Add lamb and cook until it changes from pink to brown. Add tomato paste, Baharat, cumin, salt, pepper and cook for 3 minutes.', 'Add capsicum, tomato and lemon juice, then cook over medium heat until most of the liquid evaporates (a couple of minutes usually, though depends on juiciness of tomato). Cool before using.']","[['Calories', '812cal (41%)'], ['Carbohydrates', '105g (35%)'], ['Protein', '39g (78%)'], ['Fat', '27g (42%)'], ['Saturated Fat', '11g (69%)'], ['Cholesterol', '59mg (20%)'], ['Sodium', '1756mg (76%)'], ['Potassium', '1079mg (31%)'], ['Fiber', '8g (33%)'], ['Sugar', '4g (4%)'], ['Vitamin A', '13647IU (273%)'], ['Vitamin C', '41mg (50%)'], ['Calcium', '555mg (56%)'], ['Iron', '6mg (33%)']]","https://www.recipetineats.com/pide-turkish-flat-bread/
",https://www.recipetineats.com/tachyon/2021/05/Platter-of-pide.jpg
Pork Tenderloin with Creamy Mustard Sauce,"Recipe video above. This is one of those recipe gems that proves just few ingredients and minimal effort can still deliver a knock-out dish! It's easy enough for a weeknight meal, but can step up as a dish elegant enough for company. A pinch of fresh tarragon adds a lovely sweet aniseed flavour, while mustard brings the oomph and thickens the sauce. Note: The cook time is affected by the size of the pork fillet so a meat thermometer is highly recommended to ensure the pork is cooked perfectly.",Western,5 from 100 votes,"['2 pork tenderloins , 500g / 1lb each (Note 1)', '1 tsp salt', '1 tsp pepper', '2 tbsp oil (vegetable, canola, or olive oil)', '1/2 cup cream , heavy / thickened (Note 2)', '1 tbsp Dijon mustard (Note 3)', '1 tbsp whole grain mustard (Note 3)', '2 tsp tarragon , finely chopped (Note 4)', '2 tsp parsley , finely chopped (Note 4)', '1/2 tsp salt', '1/2 tsp pepper', '1 – 2 tbsp water , as needed']",-,8 minutes ,20 minutes ,33 minutes ,RecipeTinEats,"['Preheat oven: Preheat oven to 200°C / 390°F (180°C fan). Place a rack over a tray (for resting the cooked meat).', 'Season pork: Sprinkle the tenderloins all over with salt and pepper.', 'Sear pork: Heat oil in a large oven-proof skillet over medium-high heat. Sear pork all over until golden. This takes around 5 minutes (I sear 4 sides).', 'Bake (Note 5): Transfer the skillet with the pork in it to the oven. Bake for 12 – 15 minutes or until an instant read thermometer reads 65°C / 149°F. This will have a blush of pink, a perfect medium for optimum juiciness. (For no pink at all, add 3 minutes cooking and target an internal temperature of 68°C / 155°F.)', 'Rest: Remove pork from skillet and transfer to the resting rack for 5 minutes.', 'Creamy Mustard Sauce: Return same skillet to the stove over medium heat. Add cream and both mustards. Mix well, scraping the bottom of the pan to dissolve any golden bits stuck to the base of the pan into the sauce (free flavour!). Once it becomes hot but not simmering, stir in salt, pepper, tarragon and parsley. If the sauce seems too thick, thin with a little water as needed. No need to simmer, the sauce is done!', 'Serve: Slice into 2 – 2.5cm (0.8 – 2"") slices. Serve with Creamy Mustard Sauce!']","[['Calories', '357cal (18%)'], ['Carbohydrates', '2g (1%)'], ['Protein', '38g (76%)'], ['Fat', '21g (32%)'], ['Saturated Fat', '8g (50%)'], ['Sodium', '870mg (38%)'], ['Potassium', '772mg (22%)'], ['Fiber', '1g (4%)'], ['Sugar', '1g (1%)'], ['Vitamin A', '398IU (8%)'], ['Vitamin C', '1mg (1%)'], ['Calcium', '42mg (4%)'], ['Iron', '2mg (11%)']]","https://www.recipetineats.com/pork-tenderloin-with-creamy-mustard-sauce/
",https://www.recipetineats.com/tachyon/2021/05/Pork-Tenderloin-with-Creamy-Mustard-Sauce_4.jpg
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/creamy-chicken-mushroom-fettucine/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
Tuna Steak,"Recipe video above. The perfect tuna steak is seared on the outside and deliciously rare on the inside. It takes 2 1/2 minutes flat – fastest fish recipe ever! Tuna loin is lean so best served raw or rare if cooked, to enjoy the tender, almost creamy flesh. There's a reason why tuna is a darling of the fine dining scene! Best served just slightly warm or at room temperature. Pictured with Sauce Vierge, a summery, simple French salsa / vinaigerette sauce that pairs perfectly with fish!","Universal, Western",5 from 13 votes,"['2 x 180 – 200g (6.5 – 7oz) tuna (skinless, boneless). 2.5-3cm / 1-1.2"" thick (Note 1)', '1 tsp olive oil', '1/4 tsp sea salt', '1/8 tsp black pepper', '2 tsp olive oil , or oil spray', 'Sauce Vierge (French salsa / vinaigrette for fish)', 'Chervil sprigs (substitute small flat leaf or curly parsley leaves) or small edible flowers (optional)']",-,5 minutes ,3 minutes ,,RecipeTinEats,"[""Slice, if desired (Note 7): Place tuna on a board with criss-crossing grill lines facing up. Slice the tuna into 4 or 5 thick slices, holding the edges with your fingers as needed to ensure the seared surface doesn't crumble. Transfer to serving plate and separate the slices slightly so they insides are just visible, or on an a slightly angle, overlapping each other."", 'Sauce Vierge: Spoon the Sauce Vierge over steaks, leaving small piles of tomato here and there on the tuna slices, and a few on the plate. Other sauce options: See Note 2.', 'Finishing: Drizzle with a bit of olive oil. It looks beautiful as it is, but if you want to raise the bar even higher, add a few small sprigs of chervil and some edible flowers!']","[['Calories', '208cal (10%)'], ['Fat', '8g (12%)'], ['Saturated Fat', '1g (6%)'], ['Sodium', '735mg (32%)'], ['Potassium', '324mg (9%)'], ['Fiber', '1g (4%)'], ['Vitamin A', '103IU (2%)'], ['Calcium', '31mg (3%)'], ['Iron', '3mg (17%)']]","https://www.recipetineats.com/tuna-steak/
",https://www.recipetineats.com/tachyon/2021/05/Tuna-Steak-Main_2.jpg
Sauce Vierge (fresh French sauce / salsa),"Sauce Vierge is a French sauce made from diced tomatoes, olive oil, fresh herbs and lemon juice. It pairs especially well with seafoods, such as the Tuna Steak I shared today. Sauce Vierge was popularised by Michel Guérard, a French chef who championed nouvelle cuisine (literally, ""new cuisine"") in the 1970's, a food style which emphasised freshness, simplicity, and lightness. Really, this sauce couldn't be a better expression of this style of French cooking! Serve with white meats (chicken, pork), vegetables, use as a salsa-type dip (corn chips, mini crostini), pile onto toasted bread to make bruschetta or crostini, pile over an omelette or frittata, or corn fritters! Great made on the day, even better the next day!",French,5 from 8 votes,"['5 1/2 tbsp extra virgin olive oil', '2 tbsp fresh lemon juice', '2 tomatoes , seeded and diced into 0.8cm (1/3"") cubes (Note 1)', '12 black olives , pitted and cut into strips (Spanish, kalamata, or other)', '2 anchovy fillets , very finely minced (Note 2)', '1/2 tsp garlic , very finely minced', '1 tsp parsley , finely chopped (Note 3)', '1/2 tsp chives , finely chopped (Note 3)', '1/2 tsp tarragon leaves , finely chopped (Note 3)', '1/4 tsp salt', '1/4 tsp black pepper']",-,10 minutes ,,,RecipeTinEats,"['Mix: Mix ingredients in a bowl. Taste and add more salt if you want (depends how salty the food you are putting it on is).', ""Uses: Use at room temperature as a salsa / sauce, piled onto fish (such as Tuna Steak), other seafood, grilled or steamed vegetables, chicken, pork, over pasta, piled onto bread, or even as a dip for scooping up with crostini or corn chips! You can also warm the sauce if you wish: Gently heat in a small pot and warm to blood temperature. Do not simmer or boil or you'll lose the freshness!"", 'Storage: Use immediately on making, or the next day. Keep in a very airtight container and allow to come to room temperature before serving.']","[['Calories', '205cal (10%)'], ['Carbohydrates', '4g (1%)'], ['Protein', '1g (2%)'], ['Fat', '21g (32%)'], ['Saturated Fat', '3g (19%)'], ['Potassium', '178mg (5%)'], ['Fiber', '1g (4%)'], ['Sugar', '2g (2%)'], ['Vitamin A', '580IU (12%)'], ['Vitamin C', '12mg (15%)'], ['Calcium', '20mg (2%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/sauce-vierge/
",https://www.recipetineats.com/tachyon/2021/05/Sauce-Vierge-making.jpg
-,-,-,-,[],-,,,,RecipeTinEats,-,-,"https://www.recipetineats.com/crispy-parmesan-tomato-rice/
",https://www.recipetineats.com/tachyon/2022/10/Dinner-cookbook-cover-landscape.jpg
Croque Monsieur (French hot ham and cheese sandwich),"Recipe video above. Unapologetically calorific, this is the famous French hot ham and cheese sandwich! If you want to make it the traditional way, do not skimp on cheese or butter, and do not even think about using low fat anything. 😂 While it's thought of as a brunch/breakfast, Croque Monsieur is typically served as lunch in France with a side of fries and simple salad. Truly one of the greatest sandwiches in the world, one that I say everyone should experience at least once in their lives ….",French,5 from 28 votes,"['1/2 cup milk', '1/2 cup cream (pure or heavy / thickened)', '1 1/2 tbsp / 25g unsalted butter', '1 1/2 tbsp flour , plain / all-purpose', '1/4 tsp salt , kosher/cooking salt', '1 pinch white pepper', '1/8 tsp nutmeg , preferably freshly ground', '4 slices sourdough bread , 1.5cm / ⅗"" thick (Note 1)', '8 slices Swiss or gruyere cheese (165g / 6 oz, enough for 2 layers a sandwich) (Note 2)', '120g / 4 oz ham slices , preferably smoked', '4 tsp Dijon mustard', '30g / 2 tbsp unsalted butter', '1/2 cup gruyere cheese , shredded (packed cup, Note 2)', '3 tbsp parmesan , finely shredded (Note 2)']",-,15 minutes ,15 minutes ,,RecipeTinEats,"[""Immediately transfer to warmed serving plates, with knives and fork for serving (it's too messy to eat with hands.) For a traditional French bistro experience, add a side of fries and leafy greens lightly dressed in French Dressing or a basic vinaigrette. Devour and weep with joy! (Over the sandwich that is, not the salad!)""]","[['Calories', '1440cal (72%)'], ['Carbohydrates', '83g (28%)'], ['Protein', '67g (134%)'], ['Fat', '94g (145%)'], ['Saturated Fat', '54g (338%)'], ['Sodium', '2392mg (104%)'], ['Potassium', '590mg (17%)'], ['Fiber', '4g (17%)'], ['Sugar', '7g (8%)'], ['Vitamin A', '2692IU (54%)'], ['Vitamin C', '1mg (1%)'], ['Calcium', '1302mg (130%)'], ['Iron', '6mg (33%)']]","https://www.recipetineats.com/croque-monsieur-french-ham-cheese-sandwich/
",https://www.recipetineats.com/tachyon/2021/04/Croque-Monsieur_0.jpg
